DracoX  259.808203826 57.938868534 PA=0.0
    634974 17:17:36.320 57:56:001.80 2000.0 22.597   I    1 2
    691865 17:17:36.320 58:00:022.10 2000.0 22.699   I    1 2
    530893 17:17:36.330 57:45:014.00 2000.0 23.701   I    1 2
    691594 17:17:36.410 58:00:020.60 2000.0 22.699   I    1 2
    698701 17:17:36.530 58:01:003.70 2000.0 24.216   I    1 2
    698139 17:17:36.590 58:01:000.30 2000.0 22.978   I    1 2
    686791 17:17:36.660 57:59:055.60 2000.0 22.855   I    1 2
    653983 17:17:36.690 57:57:023.60 2000.0 24.185   I    1 2
    706362 17:17:36.710 58:01:050.50 2000.0 24.653   I    1 2
    673756 17:17:36.720 57:58:053.90 2000.0 17.714   I  483 1
    693353 17:17:36.720 58:00:030.90 2000.0 23.149   I    1 2
    583910 17:17:36.760 57:51:031.90 2000.0 24.290   I    1 2
    577002 17:17:36.890 57:50:052.10 2000.0 17.755   I  483 1
    610466 17:17:36.890 57:54:005.80 2000.0 23.858   I    1 2
    540119 17:17:36.900 57:47:001.30 2000.0 23.579   I    1 2
    691822 17:17:36.900 58:00:021.90 2000.0 24.390   I    1 2
    648973 17:17:37.000 57:57:001.80 2000.0 22.841   I    1 2
    694528 17:17:37.020 58:00:038.00 2000.0 22.566   I    1 2
    638027 17:17:37.090 57:56:014.70 2000.0 20.040   I    1 2
    634740 17:17:37.100 57:56:000.70 2000.0 20.466   I    1 2
    695552 17:17:37.170 58:00:044.40 2000.0 21.325   I    1 2
    705770 17:17:37.250 58:01:046.40 2000.0 22.887   I    1 2
    661114 17:17:37.320 57:57:055.80 2000.0 24.178   I    1 2
    695083 17:17:37.330 58:00:041.40 2000.0 22.877   I    1 2
    684861 17:17:37.340 57:59:046.00 2000.0 24.045   I    1 2
    569232 17:17:37.350 57:50:004.70 2000.0 23.654   I    1 2
    604484 17:17:37.350 57:53:031.80 2000.0 23.799   I    1 2
    720423 17:17:37.360 58:03:028.50 2000.0 18.355   I  482 1
    691421 17:17:37.380 58:00:019.60 2000.0 24.401   I    1 2
    546567 17:17:37.400 57:47:043.70 2000.0 23.897   I    1 2
    697630 17:17:37.440 58:00:057.10 2000.0 18.747   I    1 2
    660290 17:17:37.520 57:57:051.90 2000.0 23.497   I    1 2
    708194 17:17:37.580 58:02:002.70 2000.0 23.979   I    1 2
    608724 17:17:37.630 57:53:055.80 2000.0 23.796   I    1 2
    556986 17:17:37.650 57:48:049.50 2000.0 23.876   I    1 2
    715496 17:17:37.690 58:02:053.70 2000.0 22.537   I    1 2
    661226 17:17:37.780 57:57:056.30 2000.0 21.958   I    1 2
    731081 17:17:37.900 58:04:043.70 2000.0 24.029   I    1 2
    699472 17:17:37.930 58:01:008.00 2000.0 22.872   I    1 2
    599989 17:17:37.950 57:53:005.20 2000.0 23.413   I    1 2
    712733 17:17:37.960 58:02:034.00 2000.0 22.738   I    1 2
    561574 17:17:37.990 57:49:017.60 2000.0 24.003   I    1 2
    559346 17:17:38.020 57:49:003.20 2000.0 23.426   I    1 2
    722488 17:17:38.150 58:03:042.20 2000.0 22.280   I    1 2
    634814 17:17:38.180 57:56:001.10 2000.0 22.395   I    1 2
    558921 17:17:38.190 57:49:000.50 2000.0 22.623   I    1 2
    617345 17:17:38.190 57:54:041.80 2000.0 17.072   I  483 1
    594298 17:17:38.270 57:52:033.00 2000.0 23.933   I    1 2
    643289 17:17:38.290 57:56:037.20 2000.0 23.224   I    1 2
    684969 17:17:38.370 57:59:046.60 2000.0 24.349   I    1 2
    600771 17:17:38.390 57:53:009.80 2000.0 18.256   I   -2 2
    538378 17:17:38.430 57:46:049.90 2000.0 19.330   I    1 2
    661023 17:17:38.430 57:57:055.40 2000.0 22.572   I    1 2
    706549 17:17:38.530 58:01:051.60 2000.0 23.927   I    1 2
    730465 17:17:38.580 58:04:039.00 2000.0 16.291   I   -2 2
    673910 17:17:38.600 57:58:054.60 2000.0 17.626   I  483 1
    597102 17:17:38.660 57:52:047.90 2000.0 23.568   I    1 2
    606356 17:17:38.730 57:53:042.50 2000.0 24.122   I    1 2
    721243 17:17:38.770 58:03:034.30 2000.0 16.468   I  484 1
    543590 17:17:38.830 57:47:023.70 2000.0 23.878   I    1 2
    667282 17:17:38.960 57:58:024.10 2000.0 18.176   I   -2 2
    733885 17:17:38.960 58:05:003.20 2000.0 22.530   I    1 2
    562665 17:17:38.970 57:49:024.20 2000.0 23.742   I    1 2
    544843 17:17:39.060 57:47:032.10 2000.0 23.918   I    1 2
    700326 17:17:39.070 58:01:013.00 2000.0 24.428   I    1 2
    699504 17:17:39.160 58:01:008.10 2000.0 24.097   I    1 2
    734029 17:17:39.160 58:05:004.00 2000.0 22.530   I    1 2
    672760 17:17:39.200 57:58:049.80 2000.0 23.579   I    1 2
    706430 17:17:39.360 58:01:050.90 2000.0 24.045   I    1 2
    677249 17:17:39.430 57:59:009.80 2000.0 22.895   I    1 2
    731247 17:17:39.430 58:04:045.00 2000.0 21.875   I    1 2
    578545 17:17:39.440 57:51:001.40 2000.0 18.183   I  482 1
    722149 17:17:39.530 58:03:040.10 2000.0 23.645   I    1 2
    690756 17:17:39.550 58:00:016.10 2000.0 24.008   I    1 2
    562742 17:17:39.560 57:49:024.70 2000.0 23.851   I    1 2
    606106 17:17:39.570 57:53:041.10 2000.0 24.184   I    1 2
    586037 17:17:39.580 57:51:044.10 2000.0 22.502   I    1 2
    642019 17:17:39.630 57:56:031.60 2000.0 24.008   I    1 2
    581057 17:17:39.650 57:51:015.70 2000.0 23.872   I    1 2
    555951 17:17:39.660 57:48:042.80 2000.0 16.922   I  484 1
    717487 17:17:39.730 58:03:007.80 2000.0 24.598   I    1 2
    686829 17:17:39.830 57:59:055.70 2000.0 23.781   I    1 2
    727486 17:17:39.880 58:04:017.40 2000.0 24.149   I    1 2
    643932 17:17:40.000 57:56:040.00 2000.0 23.123   I    1 2
    608095 17:17:40.010 57:53:052.50 2000.0 23.553   I    1 2
    717441 17:17:40.020 58:03:007.50 2000.0 23.851   I    1 2
    577926 17:17:40.040 57:50:057.80 2000.0 23.516   I    1 2
    678336 17:17:40.100 57:59:014.90 2000.0 23.791   I    1 2
    670383 17:17:40.170 57:58:039.10 2000.0 23.078   I    1 2
    563487 17:17:40.200 57:49:029.40 2000.0 23.218   I    1 2
    585313 17:17:40.200 57:51:039.80 2000.0 23.185   I    1 2
    580552 17:17:40.260 57:51:012.80 2000.0 23.251   I    1 2
    614096 17:17:40.270 57:54:024.70 2000.0 23.387   I    1 2
    537900 17:17:40.510 57:46:046.50 2000.0 17.500   I   -2 2
    613331 17:17:40.520 57:54:020.90 2000.0 23.475   I    1 2
    668065 17:17:40.520 57:58:027.70 2000.0 20.005   I    1 2
    577257 17:17:40.790 57:50:053.80 2000.0 18.293   I   -2 2
    721401 17:17:40.790 58:03:035.30 2000.0 20.307   I    1 2
    633052 17:17:40.810 57:55:053.40 2000.0 22.405   I    1 2
    694227 17:17:40.810 58:00:036.40 2000.0 24.217   I    1 2
    579221 17:17:40.870 57:51:005.00 2000.0 22.333   I    1 2
    700140 17:17:40.890 58:01:011.90 2000.0 17.592   I   -2 2
    708300 17:17:40.890 58:02:003.50 2000.0 23.519   I    1 2
    683206 17:17:40.950 57:59:037.90 2000.0 24.011   I    1 2
    727568 17:17:41.000 58:04:017.90 2000.0 24.234   I    1 2
    572937 17:17:41.060 57:50:027.10 2000.0 23.869   I    1 2
    574813 17:17:41.100 57:50:038.30 2000.0 22.515   I    1 2
    727742 17:17:41.100 58:04:019.10 2000.0 24.234   I    1 2
    686419 17:17:41.120 57:59:053.80 2000.0 21.280   I    1 2
    543778 17:17:41.160 57:47:024.90 2000.0 23.411   I    1 2
    565379 17:17:41.190 57:49:041.10 2000.0 21.758   I    1 2
    708966 17:17:41.210 58:02:008.40 2000.0 23.229   I    1 2
    542888 17:17:41.270 57:47:019.30 2000.0 22.014   I    1 2
    695470 17:17:41.290 58:00:043.90 2000.0 17.434   I  483 1
    553541 17:17:41.330 57:48:028.10 2000.0 23.709   I    1 2
    685183 17:17:41.400 57:59:047.70 2000.0 23.388   I    1 2
    704343 17:17:41.430 58:01:037.10 2000.0 18.016   I  482 1
    571334 17:17:41.460 57:50:017.30 2000.0 24.247   I    1 2
    676289 17:17:41.460 57:59:005.40 2000.0 24.246   I    1 2
    585385 17:17:41.470 57:51:040.10 2000.0 21.428   I    1 2
    699543 17:17:41.480 58:01:008.40 2000.0 24.033   I    1 2
    596384 17:17:41.660 57:52:043.90 2000.0 21.755   I    1 2
    585976 17:17:41.720 57:51:043.80 2000.0 23.722   I    1 2
    710397 17:17:41.730 58:02:018.40 2000.0 25.022   I    1 2
    683097 17:17:41.760 57:59:037.30 2000.0 24.366   I    1 2
    701157 17:17:41.760 58:01:017.80 2000.0 23.084   I    1 2
    731248 17:17:41.780 58:04:045.00 2000.0 23.523   I    1 2
    549123 17:17:41.860 57:48:000.40 2000.0 22.750   I    1 2
    570511 17:17:41.860 57:50:012.30 2000.0 20.691   I    1 2
    710094 17:17:41.880 58:02:016.20 2000.0 20.037   I    1 2
    545661 17:17:41.990 57:47:037.80 2000.0 22.579   I    1 2
    682012 17:17:42.010 57:59:032.00 2000.0 21.503   I    1 2
    568939 17:17:42.020 57:50:003.00 2000.0 23.683   I    1 2
    715743 17:17:42.020 58:02:055.40 2000.0 20.273   I    1 2
    695129 17:17:42.030 58:00:041.70 2000.0 24.191   I    1 2
    588546 17:17:42.110 57:51:059.20 2000.0 23.201   I    1 2
    658605 17:17:42.110 57:57:044.50 2000.0 21.894   I    1 2
    640995 17:17:42.120 57:56:027.10 2000.0 21.046   I    1 2
    727205 17:17:42.130 58:04:015.20 2000.0 23.201   I    1 2
    531216 17:17:42.150 57:45:023.20 2000.0 17.625   I   -2 2
    539119 17:17:42.150 57:46:054.90 2000.0 16.062   I   -2 2
